序号,总距离(km),城市数,路径
527,3696.00,4,北京->福州->南宁->成都
528,3699.00,4,北京->长春->西宁->成都
529,3702.00,4,北京->哈尔滨->呼和浩特->成都
530,3702.00,4,北京->哈尔滨->郑州->成都
531,3702.00,4,北京->长沙->石家庄->成都
532,3702.00,4,北京->香港->海口->成都
533,3706.00,4,北京->沈阳->哈尔滨->成都
534,3709.00,4,北京->西安->香港->成都
535,3710.00,4,北京->广州->武汉->成都
536,3716.00,4,北京->南宁->长沙->成都
537,3717.00,4,北京->哈尔滨->济南->成都
538,3718.00,4,北京->广州->南昌->成都
539,3720.00,4,北京->长沙->济南->成都
540,3724.00,4,北京->西宁->石家庄->成都
541,3724.00,4,北京->南京->海口->成都
542,3728.00,4,北京->台北->贵阳->成都
543,3733.00,4,北京->贵阳->广州->成都
544,3736.00,4,北京->兰州->济南->成都
545,3741.00,4,北京->兰州->南昌->成都
546,3742.00,4,北京->西安->海口->成都
547,3749.00,4,北京->天津->哈尔滨->成都
548,3757.00,4,北京->呼和浩特->福州->成都
549,3757.00,4,北京->郑州->台北->成都
550,3759.00,4,北京->澳门->昆明->成都
551,3760.00,4,北京->南昌->台北->成都
552,3760.00,4,北京->石家庄->长春->成都
553,3765.00,4,北京->上海->呼和浩特->成都
554,3777.00,4,北京->兰州->合肥->成都
555,3787.00,4,北京->海口->昆明->成都
556,3789.00,4,北京->南宁->广州->成都
557,3789.00,4,北京->重庆->合肥->成都
558,3794.00,4,北京->贵阳->海口->成都
559,3798.00,4,北京->香港->昆明->成都
560,3799.00,4,北京->西安->上海->成都
561,3802.00,4,北京->哈尔滨->银川->成都
562,3802.00,4,北京->广州->西安->成都
563,3808.00,4,北京->武汉->台北->成都
564,3808.00,4,北京->济南->长春->成都
565,3809.00,3,北京->拉萨->成都
566,3810.00,4,北京->兰州->拉萨->成都
567,3815.00,4,北京->呼和浩特->澳门->成都
568,3817.00,4,北京->台北->广州->成都
569,3821.00,4,北京->长春->长沙->成都
570,3823.00,4,北京->太原->拉萨->成都
571,3826.00,4,北京->贵阳->南昌->成都
572,3827.00,4,北京->重庆->海口->成都
573,3829.00,4,北京->福州->上海->成都
574,3831.00,4,北京->西宁->拉萨->成都
575,3832.00,4,北京->银川->拉萨->成都
576,3836.00,4,北京->哈尔滨->重庆->成都
577,3838.00,4,北京->西安->福州->成都
578,3841.00,4,北京->台北->合肥->成都
579,3845.00,4,北京->呼和浩特->香港->成都
580,3848.00,4,北京->哈尔滨->兰州->成都
581,3849.00,4,北京->杭州->呼和浩特->成都
582,3849.00,4,北京->台北->杭州->成都
583,3851.00,4,北京->福州->昆明->成都
584,3852.00,4,北京->石家庄->拉萨->成都
585,3858.00,4,北京->香港->南昌->成都
586,3870.00,4,北京->重庆->澳门->成都
587,3874.00,4,北京->昆明->西安->成都
588,3876.00,4,北京->香港->武汉->成都
589,3877.00,4,北京->杭州->海口->成都
590,3877.00,4,北京->贵阳->郑州->成都
591,3884.00,4,北京->太原->台北->成都
592,3886.00,4,北京->长沙->上海->成都
593,3886.00,4,北京->海口->广州->成都
594,3891.00,4,北京->台北->香港->成都
595,3892.00,4,北京->郑州->沈阳->成都
596,3892.00,4,北京->呼和浩特->拉萨->成都
597,3899.00,4,北京->长春->南昌->成都
598,3903.00,4,北京->澳门->南昌->成都
599,3908.00,4,北京->澳门->武汉->成都
600,3910.00,4,北京->西安->拉萨->成都
601,3912.00,4,北京->台北->西安->成都
602,3913.00,4,北京->贵阳->澳门->成都
603,3917.00,4,北京->重庆->石家庄->成都
604,3918.00,4,北京->台北->澳门->成都
605,3919.00,4,北京->昆明->兰州->成都
606,3919.00,4,北京->沈阳->昆明->成都
607,3919.00,4,北京->贵阳->银川->成都
608,3920.00,4,北京->南宁->澳门->成都
609,3921.00,4,北京->长春->贵阳->成都
610,3931.00,4,北京->南宁->西安->成都
611,3934.00,4,北京->兰州->天津->成都
612,3939.00,4,北京->重庆->香港->成都
613,3939.00,4,北京->南昌->天津->成都
614,3941.00,4,北京->呼和浩特->长春->成都
615,3944.00,4,北京->台北->南京->成都
616,3945.00,4,北京->海口->澳门->成都
617,3947.00,4,北京->天津->拉萨->成都
618,3947.00,4,北京->银川->广州->成都
