乌鲁木齐->兰州->银川->西安->郑州->武汉->南昌->长沙->重庆->成都, TotalDistance=4841
乌鲁木齐->西宁->兰州->银川->西安->武汉->南昌->长沙->贵阳->成都, TotalDistance=4844
乌鲁木齐->西宁->兰州->西安->郑州->武汉->长沙->重庆->贵阳->成都, TotalDistance=4846
乌鲁木齐->兰州->银川->西安->郑州->武汉->长沙->贵阳->成都, TotalDistance=4849
乌鲁木齐->西宁->兰州->银川->西安->太原->郑州->武汉->重庆->成都, TotalDistance=4850
乌鲁木齐->拉萨->昆明->贵阳->长沙->重庆->成都, TotalDistance=4852
乌鲁木齐->兰州->银川->西安->重庆->长沙->贵阳->成都, TotalDistance=4854
乌鲁木齐->西宁->兰州->银川->西安->郑州->武汉->长沙->贵阳->成都, TotalDistance=4859
乌鲁木齐->兰州->西安->太原->石家庄->郑州->武汉->长沙->重庆->成都, TotalDistance=4863
乌鲁木齐->西宁->兰州->银川->西安->重庆->长沙->贵阳->成都, TotalDistance=4864
乌鲁木齐->兰州->呼和浩特->太原->石家庄->郑州->武汉->重庆->成都, TotalDistance=4865
乌鲁木齐->兰州->西安->郑州->合肥->南昌->长沙->贵阳->成都, TotalDistance=4870
乌鲁木齐->兰州->呼和浩特->太原->郑州->武汉->长沙->重庆->成都, TotalDistance=4873
乌鲁木齐->兰州->银川->呼和浩特->太原->石家庄->郑州->武汉->重庆->成都, TotalDistance=4874
乌鲁木齐->西宁->兰州->呼和浩特->太原->石家庄->郑州->武汉->重庆->成都, TotalDistance=4875
乌鲁木齐->西宁->兰州->西安->郑州->合肥->南昌->长沙->贵阳->成都, TotalDistance=4880
乌鲁木齐->兰州->银川->呼和浩特->太原->郑州->武汉->长沙->重庆->成都, TotalDistance=4882
乌鲁木齐->西宁->兰州->呼和浩特->太原->郑州->武汉->长沙->重庆->成都, TotalDistance=4883
乌鲁木齐->兰州->西安->武汉->长沙->南宁->贵阳->重庆->成都, TotalDistance=4888
乌鲁木齐->兰州->西安->郑州->合肥->南昌->武汉->长沙->重庆->成都, TotalDistance=4892
乌鲁木齐->兰州->西安->郑州->合肥->武汉->长沙->贵阳->重庆->成都, TotalDistance=4894
乌鲁木齐->西宁->兰州->西安->武汉->长沙->南宁->贵阳->重庆->成都, TotalDistance=4898
乌鲁木齐->西宁->拉萨->昆明->贵阳->成都, TotalDistance=4899
乌鲁木齐->兰州->呼和浩特->石家庄->太原->郑州->武汉->重庆->成都, TotalDistance=4905
乌鲁木齐->兰州->银川->西安->郑州->合肥->武汉->长沙->重庆->成都, TotalDistance=4907
乌鲁木齐->兰州->银川->西安->武汉->南昌->长沙->贵阳->重庆->成都, TotalDistance=4909
